                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.575,                 2.1001,                 1.7499,                0.37485,                0.39109,                0.30299,                0.07698,                 2.2349,                 2.8214,                 2.6211,             0.00065891,             0.00065891,             0.00065891
                      2,                  1.613,                 1.8456,                 1.8091,                0.43364,                 0.4703,                0.39442,                0.15214,                 2.1616,                 2.3372,                 2.4998,              0.0013125,              0.0013125,              0.0013125
                      3,                 1.6211,                 1.7431,                 1.8112,                0.43197,                0.53465,                0.36623,                0.12828,                 2.2028,                 2.1001,                 2.5058,              0.0019528,              0.0019528,              0.0019528
                      4,                 1.6092,                 1.6372,                 1.7979,                0.57407,                0.56049,                0.52064,                0.18351,                  2.117,                 1.9726,                  2.303,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5735,                 1.5649,                 1.7718,                0.68098,                0.62376,                0.63548,                0.22147,                   2.15,                 1.6864,                 2.4252,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.548,                 1.4921,                 1.7319,                0.74531,                0.67327,                0.69934,                0.24722,                 2.1471,                 1.4915,                 2.4212,               0.001901,               0.001901,               0.001901
                      7,                 1.5316,                 1.4686,                 1.7206,                0.81793,                0.70792,                0.76072,                0.34226,                  1.771,                 1.3884,                 2.1128,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4822,                 1.3785,                 1.6783,                0.80884,                0.69123,                0.73111,                 0.3021,                 1.8768,                 1.4302,                 2.1498,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.438,                 1.3528,                 1.6638,                0.75033,                0.66832,                0.73128,                0.31618,                  1.805,                 1.3193,                 2.0826,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4352,                 1.3227,                 1.6371,                0.54188,                0.71439,                0.60162,                 0.2594,                 1.7779,                 1.6362,                  2.089,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4437,                 1.3194,                 1.6461,                0.86201,                0.76238,                0.82855,                0.37285,                 1.8642,                  1.051,                 2.1048,               0.001802,               0.001802,               0.001802
                     12,                 1.4235,                 1.3073,                 1.6439,                0.87934,                0.72156,                0.81455,                0.39369,                 1.6052,                 1.2545,                 1.8873,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3933,                 1.2643,                 1.6203,                0.67943,                0.74496,                0.75978,                 0.2972,                 1.8868,                 1.2538,                 2.1392,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4009,                 1.2385,                 1.6225,                0.86987,                0.66337,                  0.747,                0.28267,                  2.093,                 1.2251,                  2.419,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3538,                 1.2196,                 1.5946,                0.78863,                0.69802,                 0.7564,                0.30649,                 1.9076,                  1.214,                 2.1647,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.331,                 1.2104,                 1.5751,                0.82822,                0.71287,                0.78957,                0.32639,                 1.7288,                  1.308,                 2.0624,               0.001703,               0.001703,               0.001703
                     17,                 1.3535,                 1.1951,                 1.5925,                0.83756,                0.80198,                0.85199,                0.38778,                 1.7921,                 1.0799,                 2.0348,              0.0016832,              0.0016832,              0.0016832
